epoch,train_loss,val_loss,val_acc_top1,val_acc_top5,lr,epoch_time_s
215,0.596693,0.946921,86.0200,97.6600,0.00019822,61.3
216,0.594451,0.950806,86.1200,97.8600,0.00019393,59.4
217,0.595403,0.948208,86.3600,97.6800,0.00018967,55.3
218,0.593937,0.955072,85.9600,97.6200,0.00018545,55.2
219,0.592130,0.957500,85.8600,97.7400,0.00018127,54.8
220,0.593136,0.948779,86.2200,97.6600,0.00017713,55.1
221,0.588552,0.949050,86.1000,97.6800,0.00017303,55.4
222,0.589159,0.956241,85.6000,97.5200,0.00016896,54.8
223,0.591500,0.934516,86.3400,97.8600,0.00016493,55.2
224,0.588388,0.934302,86.4400,97.8800,0.00016094,54.8
225,0.588934,0.945597,86.5200,97.4000,0.00015699,55.4
226,0.588178,0.944084,86.3200,97.6000,0.00015309,55.0
227,0.588013,0.948700,85.8000,97.8600,0.00014922,54.8
228,0.588311,0.925948,86.8400,97.7600,0.00014539,55.3
229,0.585944,0.950144,86.2200,97.4800,0.00014161,55.0
230,0.584331,0.926935,86.6400,97.6000,0.00013787,55.2
231,0.584358,0.945098,86.2000,97.7400,0.00013417,55.1
232,0.583791,0.933476,86.8200,97.5800,0.00013051,55.1
233,0.580809,0.950340,86.3400,97.5600,0.00012690,55.3
234,0.581974,0.946386,86.2000,97.3400,0.00012333,55.5
235,0.581882,0.937529,86.9800,97.2400,0.00011980,55.6
236,0.580958,0.939960,86.4200,97.6800,0.00011632,54.7
237,0.580133,0.930298,86.7800,97.7200,0.00011288,54.7
238,0.579987,0.924278,87.3400,97.6200,0.00010949,54.9
239,0.578018,0.934320,86.9800,97.2000,0.00010615,55.3
240,0.578292,0.938417,86.7600,96.9600,0.00010285,55.0
241,0.578194,0.934394,87.0200,97.2800,0.00009960,55.1
242,0.578166,0.924878,87.4200,97.4600,0.00009640,55.1
243,0.577316,0.954071,86.2400,97.6400,0.00009324,54.9
244,0.576207,0.938999,87.0000,97.5600,0.00009013,55.7
245,0.576353,0.939815,86.5200,97.7200,0.00008707,54.9
246,0.576768,0.944689,86.6000,97.7800,0.00008406,55.6
247,0.574506,0.945432,86.7400,97.5400,0.00008109,55.6
248,0.576009,0.940327,86.8800,97.3800,0.00007818,55.2
249,0.575570,0.945772,86.8200,97.4200,0.00007531,55.0
250,0.573201,0.946482,86.6200,97.2600,0.00007250,55.1
251,0.573765,0.947725,86.3000,97.7400,0.00006974,55.0
252,0.572139,0.954047,86.4800,97.4000,0.00006702,55.2
253,0.573493,0.951346,86.2600,97.6200,0.00006436,54.9
254,0.573921,0.946094,86.3600,97.3600,0.00006175,55.1
255,0.571271,0.944553,86.6600,97.4600,0.00005919,55.4
256,0.571679,0.951783,86.2600,97.4600,0.00005668,54.9
257,0.571148,0.934358,86.9400,97.7000,0.00005422,55.4
258,0.570700,0.943079,86.8200,97.3000,0.00005182,55.3
259,0.572357,0.943030,87.0400,97.6400,0.00004946,55.6
260,0.568432,0.949150,86.8200,97.2600,0.00004717,55.7
261,0.568723,0.941842,87.0000,97.3200,0.00004492,55.2
262,0.569472,0.946444,86.6800,97.7200,0.00004273,55.2
263,0.569262,0.942462,86.6800,97.6800,0.00004059,55.2
264,0.567337,0.937766,86.9200,97.3200,0.00003851,55.1
265,0.568447,0.941852,86.8400,97.4400,0.00003648,55.2
266,0.569306,0.934309,87.1400,97.5200,0.00003450,54.6
267,0.568134,0.942983,86.7800,97.4800,0.00003258,55.1
268,0.566811,0.939146,86.9400,97.3000,0.00003071,55.2
269,0.568056,0.939314,86.7800,97.3800,0.00002890,54.7
270,0.565939,0.939584,86.9800,97.1200,0.00002715,55.4
271,0.566990,0.937372,86.8800,97.1800,0.00002545,54.9
272,0.567307,0.933962,87.1400,97.3800,0.00002380,55.4
273,0.566748,0.937511,87.0000,97.3000,0.00002221,55.2
274,0.567210,0.933057,87.2600,97.4000,0.00002068,54.6
275,0.566193,0.937967,86.8800,97.4000,0.00001921,55.2
276,0.566256,0.935708,87.1000,97.4200,0.00001779,55.0
277,0.565516,0.932002,87.2400,97.5200,0.00001642,54.7
278,0.564617,0.932811,87.6200,97.3600,0.00001512,55.3
279,0.565602,0.934314,87.4200,97.3200,0.00001387,54.9
280,0.565950,0.934185,87.5400,97.3600,0.00001268,55.1
281,0.564827,0.934506,87.4000,97.3600,0.00001154,54.9
282,0.565507,0.935266,87.1400,97.2400,0.00001047,46.7
283,0.565233,0.932083,87.3000,97.3800,0.00000945,46.9
284,0.565816,0.934586,87.2400,97.3800,0.00000848,46.8
285,0.563870,0.933927,87.3600,97.3800,0.00000758,47.4
286,0.563502,0.935734,87.3000,97.2800,0.00000673,47.4
287,0.564879,0.934005,87.3200,97.3800,0.00000595,47.3
288,0.564441,0.933880,87.3000,97.3200,0.00000521,47.1
289,0.564617,0.933079,87.3400,97.3400,0.00000454,47.8
290,0.562667,0.932679,87.3400,97.2600,0.00000393,47.4
291,0.564304,0.932766,87.3200,97.3200,0.00000337,47.0
292,0.563326,0.932635,87.4000,97.3800,0.00000287,47.0
293,0.562346,0.932681,87.3400,97.3200,0.00000244,47.2
294,0.562902,0.932465,87.4600,97.3200,0.00000205,46.9
295,0.564885,0.932971,87.4600,97.3800,0.00000173,46.9
296,0.565063,0.932683,87.4600,97.3600,0.00000147,47.2
297,0.563582,0.933445,87.4400,97.3000,0.00000126,47.3
298,0.564135,0.933267,87.4600,97.3000,0.00000112,47.0
299,0.562492,0.933410,87.4600,97.3200,0.00000103,47.2
300,0.563659,0.933381,87.4600,97.3400,0.00000100,47.2
